,Unnamed: 0,Brand,Title,Sku,Model,Url,Categories
1146,1146,Frigidaire ,Gallery 22-cu ft Counter-Depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),954159,FGSC2335TF,https://www.lowes.com/pd/Frigidaire-Gallery-22-cu-ft-Counter-Depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000502823,['Counter-Depth Refrigerators']
1147,1147,Frigidaire ,Gallery 21.7-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1100480,FGHD2368TF,https://www.lowes.com/pd/Frigidaire-Gallery-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000484135,['Counter-Depth Refrigerators']
1148,1148,Electrolux ,22.3-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel),690108,EI23BC82SS,https://www.lowes.com/pd/Electrolux-22-3-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000458529,['Counter-Depth Refrigerators']
1149,1149,GE ,17.5-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Slate) ENERGY STAR,1073617,GYE18JEMDS,https://www.lowes.com/pd/GE-17-5-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Slate-ENERGY-STAR/1000432289,['Counter-Depth Refrigerators']
1150,1150,MARVEL ,Low Profile 4.6-cu ft Built-In/Freestanding Mini Fridge (Stainless Steel),657107,MA24RAS2RS,https://www.lowes.com/pd/MARVEL-Low-Profile-4-6-cu-ft-Built-In-Freestanding-Mini-Fridge-Stainless-Steel/50323421,['Counter-Depth Refrigerators']
1151,1151,MARVEL ,5.1-cu ft Built-In/Freestanding Mini Fridge (Stainless Steel),657105,ML24RAS2RS,https://www.lowes.com/pd/MARVEL-5-1-cu-ft-Built-In-Freestanding-Mini-Fridge-Stainless-Steel/50323417,['Counter-Depth Refrigerators']
1152,1152,KitchenAid,19.8-cu ft-Counter-depth Side-by-Side Refrigerator with Ice Maker (Black Stainless Steel Finish),1596777,KRSC700HBS,https://www.lowes.com/pd/KitchenAid-19-8-cu-ft-Counter-Depth-Side-by-Side-Refrigerator-with-Ice-Maker-Black-Stainless-Steel/1001263184,['Counter-Depth Refrigerators']
1153,1153,KitchenAid,19.8-cu ft Counter-Depth Side-by-Side Refrigerator with Ice Maker (Stainless Steel),1596778,KRSC700HPS,https://www.lowes.com/pd/KitchenAid-19-8-cu-ft-Counter-Depth-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1001254348,['Counter-Depth Refrigerators']
1154,1154,LG,14.7-cu ft Counter-Depth Bottom-Freezer Refrigerator (Platinum Silver) ENERGY STAR,1597273,LBNC15231V,https://www.lowes.com/pd/LG-14-7-cu-ft-Bottom-Freezer-Refrigerator-Platinum-Silver-ENERGY-STAR/1001163520,['Counter-Depth Refrigerators']
1155,1155,LG,Craft Ice Smart Wi-Fi Enabled 23.5-cu ft Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1597278,LRFVC2406D,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-23-5-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1001157680,['Counter-Depth Refrigerators']
1156,1156,Cafe,Keurig K-Cup Brewing System 22.2-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1323697,CYE22UP2MS1,https://www.lowes.com/pd/Cafe-Keurig-K-Cup-Brewing-System-22-2-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000842490,['Counter-Depth Refrigerators']
